"# ""The 3DSC_ICSD without the ICSD data except for the ICSD ID.""",,,
formula_sc,tc,database_id_2,synth_doped
Ag0.002Al0.998,1.128,ICSD-604645,True
Ag0.005Zn0.995,0.763,ICSD-107744,True
Ag0.02Ge2Pd1.98Sr1,2.64,ICSD-165985,True
Ag0.07Sn0.9Te1,1.73,ICSD-19128,True
Ag0.153Ba1.99Cu2.847Y1O6.7,86,ICSD-202498,True
Ag0.153Ba1.99Cu2.847Y1O6.7,86,ICSD-202497,True
Ag0.15Sn0.85Te1,2.15,ICSD-652741,True
Ag0.1Ge2Pd1.9Sr1,2.62,ICSD-165985,True
Ag0.1In0.9Te1,1.2,ICSD-640614,True
Ag0.1Sn0.87Te1,1.83,ICSD-19128,True
Ag0.2Ba1Si1.8,3.2,ICSD-602228,True
Ag0.2Ba1Si1.8,3.2,ICSD-1237,True
Ag0.2Ba1Si1.8,3.2,ICSD-198610,True
Ag0.2Ba1Si1.8,3.2,ICSD-198611,True
Ag0.2Ba1Si1.8,3.2,ICSD-2218,True
Ag0.2Ba1Si1.8,3.2,ICSD-20244,True
Ag0.2Ge2Pd1.8Sr1,2.52,ICSD-165985,True
Ag0.2In0.8Te1,0.77,ICSD-110798,True
Ag0.2Sn0.8Te1,1.863333333,ICSD-19128,True
Ag0.4Sn0.6Te1,1.95,ICSD-52608,True
Ag0.55Hg0.45,0,ICSD-40357,False
Ag0.55Hg0.45,0,ICSD-605340,True
Ag0.5Al0.5Th2,0.78,ICSD-604720,False
Ag0.5Ba1Si1.5,1.21,ICSD-410520,False
Ag0.5Pd0.5Th2,1.2,ICSD-605669,False
Ag0.5Sn0.5Te1,0,ICSD-52608,False
Ag0.625Al0.375,0.106,ICSD-107717,True
Ag0.65Al0.35,0.1,ICSD-107717,True
Ag0.667Al0.333,0.126,ICSD-107717,False
Ag0.6Al0.4,0.088,ICSD-107717,True
Ag0.6Cd0.4,0,ICSD-604898,True
Ag0.6Cd0.4,0,ICSD-104398,True
Ag0.76Se2Sn1.24,6.72,ICSD-291680,True
Ag0.76Se2Sn1.24,6.72,ICSD-291694,True
Ag0.76Se2Sn1.24,6.72,ICSD-291691,True
Ag0.76Se2Sn1.24,6.72,ICSD-291684,True
Ag0.76Se2Sn1.24,6.72,ICSD-291676,True
Ag0.76Se2Sn1.24,6.72,ICSD-291681,True
Ag0.76Se2Sn1.24,6.72,ICSD-291677,True
Ag0.76Se2Sn1.24,6.72,ICSD-291697,True
Ag0.76Se2Sn1.24,6.72,ICSD-291695,True
Ag0.76Se2Sn1.24,6.72,ICSD-659391,True
Ag0.76Se2Sn1.24,6.72,ICSD-52604,True
Ag0.76Se2Sn1.24,6.72,ICSD-291696,True
Ag0.76Se2Sn1.24,6.72,ICSD-291687,True
Ag0.76Se2Sn1.24,6.72,ICSD-291692,False
Ag0.76Se2Sn1.24,6.72,ICSD-291675,True
Ag0.76Se2Sn1.24,6.72,ICSD-291686,True
Ag0.76Se2Sn1.24,6.72,ICSD-291685,True
Ag0.775Sn0.225,0.09,ICSD-58353,True
Ag0.795Sn0.205,0.09,ICSD-58354,True
Ag0.795Sn0.205,0.09,ICSD-58353,True
Ag0.795Sn0.205,0.09,ICSD-656606,True
Ag0.7Al0.3,0.11,ICSD-104165,True
Ag0.7Al0.3,0.11,ICSD-107717,True
Ag0.7Hg0.3,0,ICSD-605337,True
Ag0.815Sn0.185,0.06,ICSD-58354,True
Ag0.815Sn0.185,0.06,ICSD-58353,True
Ag0.815Sn0.185,0.06,ICSD-656606,True
Ag0.81In0.19,0.0074,ICSD-605376,True
Ag0.81In0.19,0.0074,ICSD-292053,True
Ag0.81In0.19,0.0074,ICSD-605379,False
Ag0.81In0.19,0.0074,ICSD-58285,True
Ag0.81Se2Sn1.19,6.415,ICSD-291680,True
Ag0.81Se2Sn1.19,6.415,ICSD-291694,True
Ag0.81Se2Sn1.19,6.415,ICSD-291691,True
Ag0.81Se2Sn1.19,6.415,ICSD-291684,True
Ag0.81Se2Sn1.19,6.415,ICSD-291676,True
Ag0.81Se2Sn1.19,6.415,ICSD-291689,True
Ag0.81Se2Sn1.19,6.415,ICSD-291679,True
Ag0.81Se2Sn1.19,6.415,ICSD-291681,True
Ag0.81Se2Sn1.19,6.415,ICSD-291677,True
Ag0.81Se2Sn1.19,6.415,ICSD-291683,True
Ag0.81Se2Sn1.19,6.415,ICSD-291697,False
Ag0.81Se2Sn1.19,6.415,ICSD-291695,True
Ag0.81Se2Sn1.19,6.415,ICSD-659391,True
Ag0.81Se2Sn1.19,6.415,ICSD-52604,True
Ag0.81Se2Sn1.19,6.415,ICSD-291696,True
Ag0.81Se2Sn1.19,6.415,ICSD-291687,True
Ag0.81Se2Sn1.19,6.415,ICSD-291690,True
Ag0.81Se2Sn1.19,6.415,ICSD-291692,True
Ag0.81Se2Sn1.19,6.415,ICSD-291675,True
Ag0.81Se2Sn1.19,6.415,ICSD-291686,True
Ag0.81Se2Sn1.19,6.415,ICSD-291693,True
Ag0.81Se2Sn1.19,6.415,ICSD-291678,True
Ag0.81Se2Sn1.19,6.415,ICSD-291682,True
Ag0.81Se2Sn1.19,6.415,ICSD-291688,True
Ag0.81Se2Sn1.19,6.415,ICSD-291685,True
Ag0.825Sn0.175,0.055,ICSD-58354,True
Ag0.825Sn0.175,0.055,ICSD-58353,True
Ag0.825Sn0.175,0.055,ICSD-656606,True
Ag0.825Sn0.175,0.055,ICSD-605861,True
Ag0.828Ga0.172,0.116,ICSD-605147,True
Ag0.828Ga0.172,0.116,ICSD-196827,True
Ag0.828Ga0.172,0.116,ICSD-605145,True
Ag0.82Sn0.18,0.066,ICSD-58354,True
Ag0.82Sn0.18,0.066,ICSD-58353,True
Ag0.82Sn0.18,0.066,ICSD-656606,True
Ag0.835Sn0.165,0.047,ICSD-58354,True
Ag0.835Sn0.165,0.047,ICSD-58353,True
Ag0.835Sn0.165,0.047,ICSD-656606,True
Ag0.835Sn0.165,0.047,ICSD-605861,True
Ag0.845Sb0.155,0.037,ICSD-605768,True
Ag0.845Sb0.155,0.037,ICSD-605770,True
Ag0.845Sb0.155,0.037,ICSD-64698,True
Ag0.845Sb0.155,0.037,ICSD-40349,True
Ag0.845Sn0.155,0.025,ICSD-605864,True
Ag0.845Sn0.155,0.025,ICSD-605862,True
Ag0.85In0.15,0,ICSD-605376,True
Ag0.85In0.15,0,ICSD-292053,True
Ag0.85In0.15,0,ICSD-605379,True
Ag0.85Se2Sn1.15,6.175,ICSD-291680,True
Ag0.85Se2Sn1.15,6.175,ICSD-291694,True
Ag0.85Se2Sn1.15,6.175,ICSD-291691,True
Ag0.85Se2Sn1.15,6.175,ICSD-291684,True
Ag0.85Se2Sn1.15,6.175,ICSD-291676,True
Ag0.85Se2Sn1.15,6.175,ICSD-291689,True
Ag0.85Se2Sn1.15,6.175,ICSD-291679,True
Ag0.85Se2Sn1.15,6.175,ICSD-291681,True
Ag0.85Se2Sn1.15,6.175,ICSD-291677,True
Ag0.85Se2Sn1.15,6.175,ICSD-291683,True
Ag0.85Se2Sn1.15,6.175,ICSD-291697,True
Ag0.85Se2Sn1.15,6.175,ICSD-291695,True
Ag0.85Se2Sn1.15,6.175,ICSD-659391,True
Ag0.85Se2Sn1.15,6.175,ICSD-52604,True
Ag0.85Se2Sn1.15,6.175,ICSD-291696,False
Ag0.85Se2Sn1.15,6.175,ICSD-291687,True
Ag0.85Se2Sn1.15,6.175,ICSD-291690,True
Ag0.85Se2Sn1.15,6.175,ICSD-291692,True
Ag0.85Se2Sn1.15,6.175,ICSD-291675,True
Ag0.85Se2Sn1.15,6.175,ICSD-291686,True
Ag0.85Se2Sn1.15,6.175,ICSD-291693,True
Ag0.85Se2Sn1.15,6.175,ICSD-291678,True
Ag0.85Se2Sn1.15,6.175,ICSD-291682,True
Ag0.85Se2Sn1.15,6.175,ICSD-291688,True
Ag0.85Se2Sn1.15,6.175,ICSD-291685,True
Ag0.865Sb0.135,0.014,ICSD-605768,True
Ag0.865Sb0.135,0.014,ICSD-656605,True
Ag0.865Sb0.135,0.014,ICSD-605770,True
Ag0.865Sb0.135,0.014,ICSD-40349,True
Ag0.875Ga0.125,0.019,ICSD-605147,True
Ag0.875Ga0.125,0.019,ICSD-196828,True
Ag0.875Ga0.125,0.019,ICSD-196827,True
Ag0.875Ga0.125,0.019,ICSD-605145,True
Ag0.885Sb0.115,0.019,ICSD-605767,True
Ag0.8Ga0.2,6.5,ICSD-196827,True
Ag0.8Ga0.2,6.5,ICSD-605145,True
Ag0.91As0.09,0,ICSD-604728,True
Ag0.91As0.09,0,ICSD-107718,True
Ag0.92Se2Sn1.08,5.57,ICSD-291680,True
Ag0.92Se2Sn1.08,5.57,ICSD-291694,True
Ag0.92Se2Sn1.08,5.57,ICSD-291691,True
Ag0.92Se2Sn1.08,5.57,ICSD-291684,True
Ag0.92Se2Sn1.08,5.57,ICSD-291676,True
Ag0.92Se2Sn1.08,5.57,ICSD-291681,True
Ag0.92Se2Sn1.08,5.57,ICSD-291677,True
Ag0.92Se2Sn1.08,5.57,ICSD-291697,True
Ag0.92Se2Sn1.08,5.57,ICSD-291695,False
Ag0.92Se2Sn1.08,5.57,ICSD-659391,True
Ag0.92Se2Sn1.08,5.57,ICSD-52604,True
Ag0.92Se2Sn1.08,5.57,ICSD-291696,True
Ag0.92Se2Sn1.08,5.57,ICSD-291687,True
Ag0.92Se2Sn1.08,5.57,ICSD-291692,True
Ag0.92Se2Sn1.08,5.57,ICSD-291675,True
Ag0.92Se2Sn1.08,5.57,ICSD-291686,True
Ag0.92Se2Sn1.08,5.57,ICSD-291685,True
Ag0.94Tl0.06,2.32,ICSD-107743,True
Ag0.95Se2Sn1.05,5.245,ICSD-291680,True
Ag0.95Se2Sn1.05,5.245,ICSD-291694,False
Ag0.95Se2Sn1.05,5.245,ICSD-291691,True
Ag0.95Se2Sn1.05,5.245,ICSD-291684,True
Ag0.95Se2Sn1.05,5.245,ICSD-291676,True
Ag0.95Se2Sn1.05,5.245,ICSD-291689,True
Ag0.95Se2Sn1.05,5.245,ICSD-291679,True
Ag0.95Se2Sn1.05,5.245,ICSD-291681,True
Ag0.95Se2Sn1.05,5.245,ICSD-291677,True
Ag0.95Se2Sn1.05,5.245,ICSD-291683,True
Ag0.95Se2Sn1.05,5.245,ICSD-291697,True
Ag0.95Se2Sn1.05,5.245,ICSD-291695,True
Ag0.95Se2Sn1.05,5.245,ICSD-659391,True
Ag0.95Se2Sn1.05,5.245,ICSD-52604,True
Ag0.95Se2Sn1.05,5.245,ICSD-291696,True
Ag0.95Se2Sn1.05,5.245,ICSD-291687,True
Ag0.95Se2Sn1.05,5.245,ICSD-291690,True
Ag0.95Se2Sn1.05,5.245,ICSD-291692,True
Ag0.95Se2Sn1.05,5.245,ICSD-291675,True
Ag0.95Se2Sn1.05,5.245,ICSD-291686,True
Ag0.95Se2Sn1.05,5.245,ICSD-291693,True
Ag0.95Se2Sn1.05,5.245,ICSD-291678,True
Ag0.95Se2Sn1.05,5.245,ICSD-291682,True
Ag0.95Se2Sn1.05,5.245,ICSD-291688,True
Ag0.95Se2Sn1.05,5.245,ICSD-291685,True
Ag0.9Ga0.1,0.0065,ICSD-196829,True
Ag0.9Ga0.1,0.0065,ICSD-605147,True
Ag0.9Ga0.1,0.0065,ICSD-196828,True
Ag0.9Ga0.1,0.0065,ICSD-196827,True
Ag0.9Ga0.1,0.0065,ICSD-605145,True
Ag0.9S0.2Se1.8Sn1.1,6.79,ICSD-291694,True
Ag0.9S0.2Se1.8Sn1.1,6.79,ICSD-291684,True
Ag0.9S0.2Se1.8Sn1.1,6.79,ICSD-291676,True
Ag0.9S0.2Se1.8Sn1.1,6.79,ICSD-291700,False
Ag0.9S0.2Se1.8Sn1.1,6.79,ICSD-291677,True
Ag0.9S0.2Se1.8Sn1.1,6.79,ICSD-291697,True
Ag0.9S0.2Se1.8Sn1.1,6.79,ICSD-291695,True
Ag0.9S0.2Se1.8Sn1.1,6.79,ICSD-659391,True
Ag0.9S0.2Se1.8Sn1.1,6.79,ICSD-52604,True
Ag0.9S0.2Se1.8Sn1.1,6.79,ICSD-291696,True
Ag0.9S0.2Se1.8Sn1.1,6.79,ICSD-291675,True
Ag0.9S0.2Se1.8Sn1.1,6.79,ICSD-291686,True
Ag0.9S0.2Se1.8Sn1.1,6.79,ICSD-291699,True
Ag0.9S0.2Se1.8Sn1.1,6.79,ICSD-291698,True
Ag0.9S0.2Se1.8Sn1.1,6.79,ICSD-291685,True
Ag1B2,6.7,ICSD-43821,False
Ag1Be2,0,ICSD-57347,False
Ag1Be2,0,ICSD-604819,False
Ag1Ce1Sb2,0,ICSD-79425,False
Ag1Ce1Sb2,0,ICSD-79450,False
Ag1Ce1Sb2,0,ICSD-98413,False
Ag1In2,2.35,ICSD-659383,False
Ag1In2,2.35,ICSD-605383,False
Ag1In2,2.35,ICSD-58282,False
Ag1La1,1.073333333,ICSD-58306,False
Ag1La1,1.073333333,ICSD-58305,False
Ag1La1Sb2,0,ICSD-95221,False
Ag1La1Sb2,0,ICSD-95219,False
Ag1La1Sb2,0,ICSD-95223,False
Ag1La1Sb2,0,ICSD-95222,False
Ag1La1Sb2,0,ICSD-95220,False
Ag1Mg1,0,ICSD-605538,False
Ag1Mo6S8,7.7,ICSD-600661,False
Ag1Mo6S8,7.7,ICSD-605576,False
Ag1S0.2Se1.8Sn1,5.79,ICSD-291694,True
Ag1S0.2Se1.8Sn1,5.79,ICSD-291676,True
Ag1S0.2Se1.8Sn1,5.79,ICSD-291700,True
Ag1S0.2Se1.8Sn1,5.79,ICSD-291677,True
Ag1S0.2Se1.8Sn1,5.79,ICSD-291695,True
Ag1S0.2Se1.8Sn1,5.79,ICSD-659391,True
Ag1S0.2Se1.8Sn1,5.79,ICSD-52604,True
Ag1S0.2Se1.8Sn1,5.79,ICSD-291675,True
Ag1S0.2Se1.8Sn1,5.79,ICSD-291699,False
Ag1S0.2Se1.8Sn1,5.79,ICSD-291698,False
Ag1Se2Sn1,4.655,ICSD-291694,True
Ag1Se2Sn1,4.655,ICSD-291691,True
Ag1Se2Sn1,4.655,ICSD-291684,True
Ag1Se2Sn1,4.655,ICSD-291676,False
Ag1Se2Sn1,4.655,ICSD-291677,False
Ag1Se2Sn1,4.655,ICSD-291697,True
Ag1Se2Sn1,4.655,ICSD-291695,True
Ag1Se2Sn1,4.655,ICSD-659391,False
Ag1Se2Sn1,4.655,ICSD-52604,False
Ag1Se2Sn1,4.655,ICSD-291696,True
Ag1Se2Sn1,4.655,ICSD-291687,True
Ag1Se2Sn1,4.655,ICSD-291692,True
Ag1Se2Sn1,4.655,ICSD-291675,False
Ag1Se2Sn1,4.655,ICSD-291686,True
Ag1Se2Sn1,4.655,ICSD-291685,True
Ag1Te1,0,ICSD-198218,False
Ag1Te1,0,ICSD-55237,False
Ag1Te3,2.6,ICSD-107742,False
Ag1Th2,2.225,ICSD-58367,False
Ag1Th2,2.225,ICSD-150643,False
Ag1Th2,2.225,ICSD-605924,False
Ag1Th2,2.225,ICSD-605927,False
Ag1Y1,0,ICSD-604535,False
Ag1Y1,0,ICSD-605954,False
Ag1Y1,0,ICSD-605963,False
Ag1Y1,0,ICSD-58376,False
Ag1Y1,0,ICSD-190092,False
Ag1Zn1,0,ICSD-605985,False
Ag1Zn3,0,ICSD-58386,False
Ag1Zn3,0,ICSD-605984,True
Ag2F1,0.066,ICSD-68443,False
Ag2F1,0.066,ICSD-68442,False
Ag2F1,0.066,ICSD-68440,False
Ag2F1,0.066,ICSD-68441,False
Ag2F1,0.066,ICSD-68439,False
Ag2F1,0.066,ICSD-68436,False
Ag2F1,0.066,ICSD-68444,False
Ag2F1,0.066,ICSD-68437,False
Ag2F1,0.066,ICSD-68438,False
Ag2In1,2.11,ICSD-58287,True
Ag2In1,2.11,ICSD-605373,True
Ag2In1,2.11,ICSD-605381,True
Ag2O1,0,ICSD-174087,False
Ag2O1,0,ICSD-174090,False
Ag2O1,0,ICSD-281041,False
Ag2O1,0,ICSD-173984,False
Ag2O1,0,ICSD-247821,False
Ag2O1,0,ICSD-174092,False
Ag2O1,0,ICSD-246904,False
Ag2O1,0,ICSD-174088,False
Ag2O1,0,ICSD-174089,False
Ag2O1,0,ICSD-174091,False
Ag2S1,0,ICSD-14737,True
Ag2S1,0,ICSD-182916,False
Ag2S1,0,ICSD-190396,True
Ag2S1,0,ICSD-9587,True
Ag2S1,0,ICSD-87207,True
Ag2S1,0,ICSD-262636,False
Ag2S1,0,ICSD-182918,True
Ag2S1,0,ICSD-262632,False
Ag2S1,0,ICSD-259029,False
Ag2S1,0,ICSD-262634,False
Ag2S1,0,ICSD-14738,True
Ag2Se1,0,ICSD-52603,True
Ag2Se1,0,ICSD-605805,True
Ag2Se1,0,ICSD-56991,True
Ag2Se1,0,ICSD-261822,False
Ag2Se1,0,ICSD-260148,False
Ag2Te1,0,ICSD-73232,True
Ag2Te1,0,ICSD-101820,False
Ag2Te1,0,ICSD-73402,False
Ag2Te1,0,ICSD-73231,False
Ag2Te1,0,ICSD-61420,True
Ag2Te1,0,ICSD-73234,True
Ag3.3Al1,0.34,ICSD-104165,True
Ag3.3Al1,0.34,ICSD-604642,True
Ag3In1,0,ICSD-605376,True
Ag3In1,0,ICSD-605379,True
Ag3In1,0,ICSD-58285,False
Ag3Sb1,0,ICSD-259192,False
Ag3Sn1,0,ICSD-2721,False
